epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,4726.58,1.81112,0.9061,0.85179,0.81394,0.68948,0.73217,0.31557,1.85913,0.93917,0.89945,0.0008219,0.0008219,0.0008219
121,4765.84,1.82715,0.94915,0.85014,0.8341,0.68182,0.74906,0.31908,1.87105,0.9435,0.89803,0.000812,0.000812,0.000812
122,4805.16,1.81581,0.92482,0.84838,0.81847,0.68695,0.74137,0.31899,1.85517,0.93921,0.90434,0.0008021,0.0008021,0.0008021
123,4844.34,1.81256,0.93821,0.85221,0.79964,0.67681,0.7401,0.3179,1.87399,0.90729,0.89907,0.0007922,0.0007922,0.0007922
124,4883.7,1.84074,0.94894,0.85112,0.83578,0.69021,0.76103,0.32451,1.84067,0.89292,0.89676,0.0007823,0.0007823,0.0007823
125,4923.03,1.80652,0.91502,0.85002,0.84211,0.66246,0.74299,0.32618,1.84949,0.89377,0.89977,0.0007724,0.0007724,0.0007724
126,4962.23,1.81566,0.91308,0.84876,0.86222,0.67174,0.75895,0.32675,1.84674,0.87192,0.8973,0.0007625,0.0007625,0.0007625
127,5001.5,1.80702,0.89062,0.85383,0.81594,0.66861,0.73531,0.31874,1.88137,0.88516,0.90355,0.0007526,0.0007526,0.0007526
128,5040.73,1.80629,0.92138,0.85066,0.80908,0.67427,0.72963,0.30928,1.88089,0.90029,0.90536,0.0007427,0.0007427,0.0007427
129,5080,1.80686,0.92959,0.84601,0.7978,0.67807,0.73125,0.31157,1.8818,0.91836,0.89978,0.0007328,0.0007328,0.0007328
130,5119.43,1.78567,0.90134,0.84811,0.79155,0.67379,0.73393,0.31053,1.88855,0.91103,0.89874,0.0007229,0.0007229,0.0007229
131,5158.64,1.79509,0.9126,0.84474,0.81501,0.6868,0.72518,0.31057,1.89444,0.87955,0.90803,0.000713,0.000713,0.000713
132,5197.82,1.76294,0.90565,0.8455,0.82728,0.66172,0.73787,0.31525,1.86945,0.88568,0.89968,0.0007031,0.0007031,0.0007031
133,5237.14,1.78059,0.89107,0.84622,0.81102,0.67934,0.74143,0.30765,1.88058,0.88914,0.90091,0.0006932,0.0006932,0.0006932
134,5276.38,1.7903,0.90963,0.84166,0.84054,0.66033,0.74476,0.31848,1.87982,0.87782,0.89906,0.0006833,0.0006833,0.0006833
135,5315.55,1.76812,0.90343,0.84136,0.83115,0.69962,0.75603,0.32232,1.86636,0.8918,0.90152,0.0006734,0.0006734,0.0006734
136,5354.78,1.77122,0.89375,0.84447,0.83551,0.68695,0.74662,0.32644,1.85397,0.87291,0.90091,0.0006635,0.0006635,0.0006635
137,5395.66,1.76813,0.88495,0.84266,0.82688,0.6901,0.75943,0.32689,1.86752,0.87845,0.89994,0.0006536,0.0006536,0.0006536
138,5435.03,1.74817,0.88695,0.84372,0.82654,0.69328,0.74746,0.32295,1.86692,0.88533,0.89835,0.0006437,0.0006437,0.0006437
139,5474.25,1.72478,0.87226,0.84213,0.81664,0.68441,0.75674,0.32276,1.87183,0.8877,0.89692,0.0006338,0.0006338,0.0006338
140,5513.5,1.74807,0.88885,0.84736,0.83143,0.68821,0.76372,0.32821,1.87786,0.88312,0.90221,0.0006239,0.0006239,0.0006239
141,5552.89,1.74877,0.86432,0.84623,0.82835,0.69328,0.75942,0.32108,1.86792,0.8998,0.89894,0.000614,0.000614,0.000614
142,5592.26,1.76498,0.88414,0.84442,0.82027,0.71151,0.76203,0.32524,1.86741,0.86892,0.89899,0.0006041,0.0006041,0.0006041
143,5631.75,1.77207,0.85241,0.84245,0.83552,0.67602,0.75699,0.31775,1.89566,0.87459,0.89869,0.0005942,0.0005942,0.0005942
144,5670.9,1.75768,0.87679,0.84231,0.81458,0.66413,0.75329,0.32214,1.89867,0.89095,0.9006,0.0005843,0.0005843,0.0005843
145,5710.14,1.72055,0.88103,0.84032,0.80515,0.68441,0.74051,0.3202,1.88615,0.8825,0.90189,0.0005744,0.0005744,0.0005744
146,5749.61,1.74679,0.87832,0.83899,0.82601,0.69194,0.76094,0.31843,1.87279,0.88262,0.90451,0.0005645,0.0005645,0.0005645
147,5789.27,1.73488,0.89664,0.83996,0.81675,0.69835,0.74802,0.3124,1.89169,0.88188,0.9019,0.0005546,0.0005546,0.0005546
148,5828.5,1.72768,0.86398,0.84574,0.8168,0.69582,0.75502,0.32072,1.87212,0.90041,0.89991,0.0005447,0.0005447,0.0005447
149,5868.07,1.74013,0.8662,0.8451,0.81143,0.70899,0.76333,0.32298,1.90345,0.8959,0.90346,0.0005348,0.0005348,0.0005348
150,5907.32,1.69132,0.86191,0.83038,0.83367,0.69835,0.7607,0.33075,1.88762,0.90421,0.9044,0.0005249,0.0005249,0.0005249
151,5946.84,1.73384,0.86089,0.84029,0.83551,0.69962,0.76367,0.32755,1.88344,0.888,0.90316,0.000515,0.000515,0.000515
